"RecordID","ProgramStudi","Gender","DeviceUtama","ModaBelajar","Kepuasan","IntensitasBelajar","DurasiBelajarJam","PaketID"
550058,"Sains Data","P","Laptop","Praktik","Puas","Sedang",8.9,"ADK1-070181B4"
221840,"Sistem Informasi","L","Smartphone","Diskusi","Puas","Sedang",6.5,"ADK1-070181B4"
643042,"Sistem Informasi","P","Smartphone","Diskusi","Puas","Sedang",8.6,"ADK1-070181B4"
313251,"Sistem Informasi","P","Laptop","Diskusi","Puas","Sedang",9.1,"ADK1-070181B4"
122457,"Sistem Informasi","L",,"Praktik","Sangat Puas","Tinggi",6.5,"ADK1-070181B4"
941739,"Matematika","L","Smartphone","Praktik","Puas","Tinggi",11.8,"ADK1-070181B4"
993454,"Sistem Informasi","L","Laptop","Buku","Puas","Tinggi",8.9,"ADK1-070181B4"
558832,"Sistem Informasi","L","Tablet","Praktik","Puas","Sedang",5.7,"ADK1-070181B4"
582419,"Sains Aktuaria","L","Laptop","Buku","Sangat Puas","Tinggi",11.2,"ADK1-070181B4"
807730,"Sains Data","L","Tablet","Video","Tidak Puas","Tinggi",10.1,"ADK1-070181B4"
571071,"Matematika","P","Smartphone","Buku","Sangat Puas","Tinggi",7.9,"ADK1-070181B4"
240822,"Matematika","L","Smartphone","Praktik","Sangat Puas","Tinggi",9.8,"ADK1-070181B4"
818670,"Sistem Informasi","P","Laptop","Video","Sangat Puas","Sedang",8.9,"ADK1-070181B4"
588501,"Matematika","L","Smartphone","Praktik","Puas","Tinggi",6.9,"ADK1-070181B4"
860097,"Sistem Informasi","P","Laptop","Praktik","Cukup","Sedang",10,"ADK1-070181B4"
648319,"Matematika","P","Laptop","Praktik","Puas","Sedang",6,"ADK1-070181B4"
793506,"Sains Data","L","Tablet","Praktik","Cukup","Sedang",9.3,"ADK1-070181B4"
464350,"Matematika","L","Smartphone","Diskusi","Sangat Puas","Sedang",6.8,"ADK1-070181B4"
265250,"Matematika","P","Smartphone","Diskusi","Tidak Puas","Rendah",0.5,"ADK1-070181B4"
533477,"Sains Data","L","Laptop","Buku","Puas","Sedang",7.8,"ADK1-070181B4"
612271,"Matematika","P","Tablet","Praktik","Tidak Puas","Sedang",2.4,"ADK1-070181B4"
894320,"Sains Aktuaria","P","Tablet","Buku","Sangat Puas","Sedang",5.9,"ADK1-070181B4"
707255,"Sains Data","L","Smartphone","Buku","Tidak Puas","Tinggi",8.5,"ADK1-070181B4"
649973,"Sistem Informasi","L","Tablet","Diskusi","Puas","Tinggi",7.7,"ADK1-070181B4"
811269,"Sistem Informasi","P","Tablet","Praktik","Cukup","Rendah",6.6,"ADK1-070181B4"
627329,"Matematika","P","Smartphone","Video","Puas","Tinggi",10,"ADK1-070181B4"
751290,"Sistem Informasi","P","Tablet","Diskusi","Cukup","Sedang",6.7,"ADK1-070181B4"
545622,"Sains Aktuaria","L","Laptop","Praktik","Sangat Puas","Sedang",8.5,"ADK1-070181B4"
345637,"Sistem Informasi","P","Smartphone","Diskusi","Cukup","Rendah",4.4,"ADK1-070181B4"
615465,"Sains Aktuaria","L","Laptop","Buku","Sangat Puas","Sedang",5.8,"ADK1-070181B4"
182232,"Sistem Informasi","L","Tablet","Buku","Sangat Puas","Tinggi",10.2,"ADK1-070181B4"
714113,"Sistem Informasi","P","Laptop","Video","Puas","Tinggi",8.3,"ADK1-070181B4"
960633,"Sistem Informasi","P","Laptop","Video","Puas","Tinggi",7.7,"ADK1-070181B4"
133890,"Matematika","L","Tablet","Buku","Cukup","Rendah",5.3,"ADK1-070181B4"
222973,"Sains Aktuaria","L","Smartphone","Praktik","Cukup","Sedang",4.9,"ADK1-070181B4"
257913,"Matematika","P","Smartphone","Praktik","Puas","Tinggi",10.2,"ADK1-070181B4"
357743,"Sistem Informasi","P","Tablet","Praktik","Puas","Tinggi",7.5,"ADK1-070181B4"
784624,"Sains Aktuaria","P","Smartphone","Buku","Puas","Tinggi",10.9,"ADK1-070181B4"
318101,"Matematika","L","Smartphone","Diskusi","Puas","Tinggi",7.1,"ADK1-070181B4"
935736,"Matematika","P","Smartphone","Buku","Tidak Puas","Sedang",5,"ADK1-070181B4"
190985,"Sistem Informasi","P","Laptop","Praktik","Tidak Puas","Sedang",12.8,"ADK1-070181B4"
359268,"Sistem Informasi","P","Laptop","Diskusi","Cukup","Rendah",2.5,"ADK1-070181B4"
623003,"Matematika","P","Tablet","Buku","Cukup","Sedang",8,"ADK1-070181B4"
844450,"Sains Aktuaria","P","Smartphone","Buku","Tidak Puas","Tinggi",12.5,"ADK1-070181B4"
952539,"Sains Data","L","Smartphone","Video","Puas","Tinggi",6.7,"ADK1-070181B4"
144341,"Sistem Informasi","P","Laptop","Praktik","Sangat Puas","Tinggi",9.5,"ADK1-070181B4"
637264,"Sains Data","L","Laptop","Buku","Sangat Puas","Rendah",5.7,"ADK1-070181B4"
442203,"Matematika","P","Laptop","Diskusi","Sangat Puas","Rendah",,"ADK1-070181B4"
760403,"Sains Data","P","Smartphone","Praktik","Puas","Tinggi",9.1,"ADK1-070181B4"
353841,"Matematika","P","Tablet","Praktik","Sangat Puas","Tinggi",10.2,"ADK1-070181B4"
122736,"Sistem Informasi","L","Smartphone","Diskusi","Cukup","Rendah",3.5,"ADK1-070181B4"
335608,"Sains Aktuaria","L","Smartphone","Buku","Puas","Tinggi",11.8,"ADK1-070181B4"
778009,"Sains Aktuaria","P","Laptop","Praktik","Puas","Rendah",2.9,"ADK1-070181B4"
